Match type,Repository,Repository external URL,File path,File URL,Path matches [path [start end]],Chunk matches [line [start end]]
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_array_contains_wrong1.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_array_contains_wrong1.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_greatest_error_3.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_greatest_error_3.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_isnotfalse_wrong_type1.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_isnotfalse_wrong_type1.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_split_wrong_type1.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_split_wrong_type1.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_if_wrong_args_len.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_if_wrong_args_len.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_map_keys_arg_type.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_map_keys_arg_type.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_last_day_error_2.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_last_day_error_2.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_array_contains_wrong2.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_array_contains_wrong2.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_sq_count_check_wrong_type1.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_sq_count_check_wrong_type1.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_instr_wrong_type.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_instr_wrong_type.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_map_values_arg_type.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_map_values_arg_type.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_exception_in_vertex_udf_wrong_type4.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_exception_in_vertex_udf_wrong_type4.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_exception_in_vertex_udf_wrong_type3.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_exception_in_vertex_udf_wrong_type3.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_trunc_wrong_type1.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_trunc_wrong_type1.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_elt_wrong_args_len.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_elt_wrong_args_len.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_tumbling_window_check_wrong_type2.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_tumbling_window_check_wrong_type2.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_printf_wrong2.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_printf_wrong2.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_format_number_wrong1.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_format_number_wrong1.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_add_months_error_2.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_add_months_error_2.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_trunc_error1.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_trunc_error1.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_likeany_wrong1.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_likeany_wrong1.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_next_day_error_2.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_next_day_error_2.q.out,,"[0, [[27, 37]]]"
